Authors,Title,Year,Source title,Link,Document Type,Source
"Margetts H.","E-government in Britain - A decade on",2006,"Parliamentary Affairs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745608430&doi=10.1093%2fpa%2fgsl003&partnerID=40&md5=89c43255a9c019be0a2913ae88a8dae1",Review,Scopus
"Adam L., Wood F.","Investigation of the impact of information and communication technologies in sub-Saharan Africa",1999,"Journal of Information Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032639542&doi=10.1177%2f016555159902500407&partnerID=40&md5=e7bde594468ae653f2d489a4eddb1b87",Article,Scopus
"Crawford K., Hasan H.","Demonstrations of the activity theory framework for research in information systems",2006,"Australasian Journal of Information Systems",,,Scopus
[No author name available],[No title available],2005,"Global E-government Readiness Report",,,Scopus
"Hartono E., Lederer A.L., Sethi V., Zhuang Y.","Key Predictors of the Implementation of Strategic Information Systems Plans",2003,"Data Base for Advances in Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748493952&doi=10.1145%2f937742.937747&partnerID=40&md5=3d03fa542ac68a82a42789644f5aac14",Article,Scopus
"Krishna A., Uphoff N., Esman M.J.",[No title available],1997,"Reasons for Hope: Instructive Experiences in Rural Development",,,Scopus
"Lam A.","Engineers, management and work organization: A comparative analysis of engineers' work roles in British and Japanese electronics firms",1996,"Journal of Management Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030098359&doi=10.1111%2fj.1467-6486.1996.tb00157.x&partnerID=40&md5=978b685eb4ff226b353b16faed1e171d",Article,Scopus
"Lee G.G., Pai J.-C.","Effects of organizational context and inter-group behaviour on the success of strategic information systems planning: An empirical study",2003,"Behaviour and Information Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142186099&doi=10.1080%2f0144929031000136548&partnerID=40&md5=6344aeead3083509e8c652f35555c629",Article,Scopus
"Papageorgiou C.","Distinguishing between the effects of primary and post-primary education on economic growth",2003,"Review of Development Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142104221&doi=10.1111%2f1467-9361.00213&partnerID=40&md5=61020b531f77910345f3fbd3b6417a60",Article,Scopus
"Lyytinen K., Fomin V.V.","Achieving high momentum in the evolution of wireless infrastructures: The battle over the 1 G solutions",2002,"Telecommunications Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036537352&doi=10.1016%2fS0308-5961%2802%2900006-X&partnerID=40&md5=d8061a4e6cf62438c725b137d5bffdcd",Article,Scopus
"Gasmi F., Laffont J.J., Sharkey W.W.","Competition, universal service and telecommunications policy in developing countries",2000,"Information Economics and Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034281739&doi=10.1016%2fS0167-6245%2800%2900016-0&partnerID=40&md5=91ffb1ce5fbdaddc684ee75eeb4406c1",Conference Paper,Scopus
"Agarwal R., Tanniru M., Wilemon D.","Assimilating information technology innovations: Strategies and moderating influences",1997,"IEEE Transactions on Engineering Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031268866&doi=10.1109%2f17.649864&partnerID=40&md5=4457fffdc1e1641ba8dd53b8a84c58d0",Article,Scopus
"Shepherd A.W.","Market information services: Theory and practices",1997,"Market Information Services: Theory and Practice",,,Scopus
"Hanna N., Guy K., Arnold E.","The Diffusion of Information Technology: Experience of Industrial Countries and Lessons for Developing Countries",1995,"The Diffusion of Information Technology: Experience of Industrial Countries and Lessons for Developing Countries",,,Scopus
"Benjamin R.I., Scott Morton M.S.","Information technology, integration, and organizational change",1988,"Interfaces",,,Scopus
"Grigg D.",[No title available],1995,"An Introduction to Agricultural Geography",,,Scopus
"Bucklin L.P., Sengupta S.","The co-diffusion of complementary innovations: Supermarket scanners and UPC symbols",1993,"The Journal of Product Innovation Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000739025&doi=10.1016%2f0737-6782%2893%2990006-C&partnerID=40&md5=71e47b20af672b996abd37a0225fd326",Article,Scopus
"Hargittai E.","Hurdles to information seeking: Spelling and typographical mistakes during users' online behavior",2006,"Journal of the Association for Information Systems",,,Scopus
"Huang W., D'Ambra J., Bhalla V.","An empirical investigation of the adoption of egovernment in Australian citizens: Some unexpected research findings",2002,"Journal of Computer Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036758301&partnerID=40&md5=a51408d21f9e9babd54d318908354cd9",Article,Scopus
"Hounshell D.","The medium is the message, or how context matters: The RAND Corporation builds an economics of innovation, 1946-1962",2000,"Systems, Experts and Computers: The Systems Approach in Management and Engineering, World War II and After",,,Scopus
"Teo T.S.H., Ang J.S.K., Pavri F.N.","The state of strategic IS planning practices in Singapore",1997,"Information and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0006606611&doi=10.1016%2fS0378-7206%2897%2900033-5&partnerID=40&md5=64910e7a5e49d67046db03793a28c49f",Article,Scopus
"Henderson J.C., Rockart J.F., Sifonis J.G.","Integrating management support systems into strategic information systems planning",1987,"Journal of Management Information Systems",,,Scopus
"Sagasti F.","Knowledge and innovation for development: The sisyphus challenge of the 21st century",2004,"Knowledge and Innovation for Development: The Sisyphus Challenge of the 21st Century","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896241515&doi=10.4337%2f9781843769804&partnerID=40&md5=850d45d97093c150add051c38bdf8cf8",Book,Scopus
"Al-Kodmany K.","Bridging the gap between technical and local knowledge: Tools for promoting community-based planning and design",2001,"Journal of Architectural and Planning Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035359932&partnerID=40&md5=1fdec2719162c25e897439ebc9de1dd5",Article,Scopus
"Heeks R.","Reinventing government in the information age",1999,"Reinventing Government in the Information Age",,,Scopus
"Iivari Juhani, Linger Henry","Knowledge work as collaborative work: A Situated Activity Theory view",1999,"Proceedings of the Hawaii International Conference on System Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032733403&partnerID=40&md5=d3d0f3fd2ab80c62809586ee7758de99",Conference Paper,Scopus
"Sahay S.","Implementing GIS technology in India: Some issues of time and space",1998,"Accounting, Management and Information Technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001668402&doi=10.1016%2fS0959-8022%2898%2900002-2&partnerID=40&md5=8c5f82b849a98238ffaee9b0e22115f8",Article,Scopus
"Meso P., Datta P., Mbarlka V.","Moderating information and communication technologies' influences on socioeconomic development with good governance: A study of the developing countries",2006,"Journal of the American Society for Information Science and Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645321862&doi=10.1002%2fasi.20263&partnerID=40&md5=824e74b7bd5689f9f599d85ecfba7122",Article,Scopus
"Steinfield C., Adelaar T., Lai Y.-J.","Integrating brick and mortar locations with e-commerce: Understanding synergy opportunities",2002,"Proceedings of the Annual Hawaii International Conference on System Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-16244380731&doi=10.1109%2fHICSS.2002.994254&partnerID=40&md5=ad6e3f0e2a372f728746cc3267eb0610",Conference Paper,Scopus
"Andrade A.E.D., Urquhart C.","The value of extended networks: Social capital in an ICT intervention in rural Peru",2009,"Information Technology for Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650220928&doi=10.1002%2fitdj.20116&partnerID=40&md5=0652344703c20667879ceaab7de618f3",Article,Scopus
"Chilundo B., Aanestad M.","Negotiating multiple rationalities in the process of integrating the information systems of disease-specific health programmes",2004,"Electronic Journal of Information Systems in Developing Countries",,,Scopus
"Lipton M., Longhurst R.","Modern Varieties, International Agricultural Research and the Poor",1985,"Modern varieties, international agricultural research and the poor",,,Scopus
"Dhillon G.S., Weerakkody V., Dwivedi Y.K.","Realising transformational stage e-government: A UK local authority perspective",2008,"Electronic Government","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39149104083&doi=10.1504%2fEG.2008.016645&partnerID=40&md5=088fd5893944a569ba4deda1848b4433",Article,Scopus
"Dieterich H.",[No title available],2005,"El Socialismo del Siglo XXI",,,Scopus
"Upton D.M., Fuller V.A.","The ITC e-Choupal Initiative",2004,"The ITC eChoupal initiative",,,Scopus
"Heeks R.","eGovernment as a Carrier of Context",2004,"EGovernment as a Carrier of Context",,,Scopus
"Parikh M., Verma S.","Utilizing Internet technologies to support learning: An empirical analysis",2002,"International Journal of Information Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036466808&doi=10.1016%2fS0268-4012%2801%2900038-X&partnerID=40&md5=35b949e6dd0d29ec42c710229a772063",Article,Scopus
"Eardley A., Avison D., Powell P.","Developing information systems to support flexible strategy",1997,"Journal of Organizational Computing and Electronic Commerce","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002844432&doi=10.1207%2fs15327744joce0701_4&partnerID=40&md5=7ec4ed889e53cf8deae556ad2b54eb89",Article,Scopus
"Cernea M.","Social Organisation and Development Anthropology",1996,"Social Organization and Development Anthropology",,,Scopus
"Salvador T., Sherry J.W., Urrutia A.E.","Less cyber, more café: Enhancing existing small businesses across the digital divide with ICTs",2005,"Information Technology for Development",,,Scopus
"Heeks R., Nicholson B.","Software export success factors and strategies in developing and transitional economies",2004,"Competition and Change",,,Scopus
"Burn J.M.","IS innovation and organizational alignment - A professional juggling act",1996,"Journal of Information Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030528215&doi=10.1080%2f026839696345388&partnerID=40&md5=6f12233030afa0624b36faa79bee00c3",Article,Scopus
"Veregin H.","Computer innovation and adoption in geography: A critique of conventional technological models",1995,"Ground Truth: The Social Implications of Geographic Information Systems",,,Scopus
"Rai Arun, Ravichandran T., Samaddar Subhashish","How to anticipate the Internet's global diffusion",1998,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032187484&doi=10.1145%2f286238.286253&partnerID=40&md5=506587ea3bd7cf45e317e6ff73d0906d",Article,Scopus
"Kapurubandara M.","A framework to e-transform SMEs in developing countries",2009,"Electronic Journal of Information Systems in Developing Countries",,,Scopus
"Shih E., Kraemer K.L., Dedrick J.","IT diffusion in developing countries",2008,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38849146332&doi=10.1145%2f1314215.1314223&partnerID=40&md5=21d8d986f62a6372855606c98b7c6846",Article,Scopus
"Engelstad P.H., Gustavsen B.","Swedish Network Development for Implementing National Work Reform Strategy",1993,"Human Relations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21144460815&doi=10.1177%2f001872679304600205&partnerID=40&md5=821980210feea37e213dc183e0b2a0bc",Article,Scopus
"Lewis J.A.","Government open source policies",0000,"Government Open Source Policies",,,Scopus
"Farazmand A.","Innovation in Strategic Human Resource Management: Building Capacity in the Age of Globalization",2004,"Public Organization Review",,,Scopus
"Korpela M., Mursu A., Soriyan A., Eerola A., Häkkinen H., Toivanen M.","Information systems research and development by activity analysis and development: Dead horse or the next wave?",2004,"IFIP Advances in Information and Communication Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900610272&partnerID=40&md5=0642d90a0afb8a0dd9e0deced8fd99e9",Conference Paper,Scopus
"Papageorgiou C.","Technology adoption, human capital, and growth theory",2002,"Review of Development Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036785854&doi=10.1111%2f1467-9361.00160&partnerID=40&md5=bb38d6c5de196200275d943e89d1db0b",Article,Scopus
"Kock N., Lau F.","Information systems action research: Serving two demanding masters",2001,"Information Technology & People",,,Scopus
"Hoeschele W.","Geographic information engineering and social ground truth in Attappadi, Kerala State, India",2000,"Annals of the Association of American Geographers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033779111&doi=10.1111%2f0004-5608.00196&partnerID=40&md5=fcf5a5f0eabfb7930f96f3e298310513",Article,Scopus
"Shirazi F.","The contribution of ICT to freedom and democracy: An empirical analysis of archival data on the Middle East",2008,"The Electronic Journal on Information Systems in Developing Countries",,,Scopus
"King K.","Banking on Knowledge: The new knowledge projects of the World Bank",2002,"Compare","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542518420&doi=10.1080%2f0305792022000007472&partnerID=40&md5=a757bb3ec0d13b85476c4186be6868b8",Article,Scopus
"Sen A.K.","What is development about?",2000,"Frontiers of Development Economics: The Future in Perspective",,,Scopus
"Ros A.J., Banerjee A.","Telecommunications privatization and tariff rebalancing: Evidence from Latin America",2000,"Telecommunications Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033733986&doi=10.1016%2fS0308-5961%2800%2900013-6&partnerID=40&md5=1710e0a9795e3fb429e75e8ba07f6085",Article,Scopus
"Walsham G., Symons V., Waema T.","Information Systems as Social Systems: Implications for Developing Countries",1988,"Information Technology for Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024249095&doi=10.1080%2f02681102.1988.9627126&partnerID=40&md5=994588151a56b581a0fede3f3247fcb5",Article,Scopus
"Chari K., Seshadri S.","Demystifying integration",2004,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243148472&doi=10.1145%2f1005817.1005822&partnerID=40&md5=dc7d730415b2ebb39efcb512378fba72",Review,Scopus
"Montealegre R.","Managing information technology in modernizing 'against the odds': Lessons from an organization in a less-developed country",1998,"Information and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000579588&doi=10.1016%2fS0378-7206%2898%2900051-2&partnerID=40&md5=746145f87fb2749d02f61e7c5c547623",Article,Scopus
